,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
203,Honda,WR-V1.2 i-VTEC VX MT,779599,2018,Hyderabad,Petrol,13534,Manual,1,17342
204,Hyundai,Creta1.6 CRDI SX PLUS AUTO,1080999,2017,Hyderabad,Diesel,79936,Automatic,1,24046
205,Maruti,Alto K10LXI,199699,2011,Hyderabad,Petrol,92261,Manual,2,4442
206,Ford,Ecosport1.5TITANIUM TDCI,777599,2018,Hyderabad,Diesel,71483,Manual,1,17297
207,Hyundai,Grand i10MAGNA 1.2 VTVT,425199,2016,Hyderabad,Petrol,63674,Manual,1,9458
208,Honda,WR-V1.5 i-DTEC VX MT,874899,2019,Hyderabad,Diesel,52284,Manual,1,19462
209,Maruti,Vitara BrezzaZDI,730099,2016,Hyderabad,Diesel,37380,Manual,1,16241
210,Maruti,SwiftZDI,450799,2012,Hyderabad,Diesel,77838,Manual,2,10028
211,Hyundai,Elite i20SPORTZ 1.2,542199,2018,Hyderabad,Petrol,67132,Manual,1,12061
212,Ford,Ecosport1.5 TITANIUM PLUS TI VCT AT,962299,2019,Hyderabad,Petrol,7346,Manual,1,21406
213,Honda,City ZXGXI,226299,2007,Hyderabad,Petrol,90444,Manual,1,5034
214,Maruti,Wagon R 1.0VXI,360399,2015,Hyderabad,Petrol,68409,Manual,2,8017
215,Maruti,AltoLXI,159099,2009,Hyderabad,Petrol + LPG,155996,Manual,1,3539
216,Hyundai,i10MAGNA 1.2 KAPPA2,311399,2013,Hyderabad,Petrol,87911,Manual,2,6927
217,Maruti,DzireVXI AMT,623999,2018,Hyderabad,Petrol,42575,Automatic,1,13881
218,Hyundai,Elite i20SPORTZ 1.2,522299,2016,Hyderabad,Petrol,88860,Manual,1,11618
219,Ford,Figo1.4 TITANIUM DURATORQ,334499,2014,Hyderabad,Diesel,75539,Manual,2,7441
220,Honda,City ZX1.5 EXI,246299,2008,Hyderabad,Petrol,105060,Manual,2,5479
221,Hyundai,i10SPORTZ 1.2 AT KAPPA2,312799,2011,Hyderabad,Petrol,109888,Automatic,2,6958
222,Volkswagen,AmeoHIGHLINE 1.5,471899,2016,Hyderabad,Diesel,77267,Manual,2,10497
223,Hyundai,Santro XingGLS,172199,2009,Hyderabad,Petrol,105529,Manual,1,3830
224,Toyota,Innova Crysta2.8 GX AT 8 STR,1534899,2016,Hyderabad,Diesel,42545,Automatic,1,34143
225,Hyundai,i10SPORTZ 1.2,226599,2009,Hyderabad,Petrol,88322,Manual,1,5041
226,Renault,Duster85 PS RXL,405599,2013,Hyderabad,Diesel,82233,Manual,2,9022
227,Hyundai,Creta1.6 E + VTVT,708599,2016,Hyderabad,Petrol,69300,Manual,2,15762
228,Maruti,CelerioVXI,374999,2015,Hyderabad,Petrol,81688,Manual,2,8342
229,Hyundai,Verna1.6 CRDI SX + AT,1045599,2018,Hyderabad,Diesel,32419,Automatic,1,23259
